,page_id,page_title,page_namespace,rev_timestamp,views,views_mean,views_median,views_sum,views_peak
3968,58528,Radim_Barchánek,0,20220903193943,"[0, 0, 0, 0, 1, 0, 0, 0]",0.125,0.0,1.0,4.0
3969,55433,Radio-dramato,0,20220429195538,"[1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",0.22727272727272727,0.0,5.0,0.0
3970,55181,Radioaktiveso,0,20220331091408,"[0, 0, 0, 1, 0, 0, 1, 1, 2, 0, 1, 2, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1]",0.5806451612903226,1.0,18.0,8.0
3971,61051,Radiosondilo,0,20221201124353,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",0.058823529411764705,0.0,1.0,12.0
3972,57626,Radom,0,20220711114055,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 0, 0]",0.24,0.0,6.0,7.0
3973,55388,Radomsko,0,20220427115144,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.05,0.0,1.0,10.0
3974,56861,Radostów_Drugi,0,20220601131741,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0]",0.21428571428571427,0.0,3.0,7.0
3975,56860,Radostów_Pierwszy,0,20220601130652,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]",0.125,0.0,2.0,8.0
3976,56720,Rafael_Estrella_Ureña,0,20220526115244,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0]",0.21428571428571427,0.0,3.0,10.0
3977,54730,Rafael_Marques_Pinto,0,20220124200303,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1]",0.21428571428571427,0.0,3.0,4.0
3978,58833,Rafael_Orozco_Maestre,0,20220910184021,"[0, 0, 0, 0, 3, 0, 0, 1, 2, 0, 0, 0]",0.5,0.0,6.0,4.0
3979,57785,Rafał_Malczewski,0,20220724132534,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",0.23076923076923078,0.0,3.0,2.0
3980,60911,Rahazina_(Orsha),0,20221128003839,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,0.0,0.0
3981,60754,Rahozina_(Orsha),0,20221121152911,"[0, 0, 0, 0, 0]",0.0,0.0,0.0,0.0
