country,views,rank,views_ceil,lang
RU,1000-9999,5,9000,io
DE,1000-9999,6,9000,io
IN,1000-9999,7,8000,io
SG,1000-9999,8,6000,io
PL,1000-9999,9,6000,io
BR,1000-9999,10,5000,io
UA,1000-9999,11,3000,io
IR,1000-9999,12,3000,io
AU,1000-9999,13,3000,io
RO,1000-9999,14,3000,io
JP,1000-9999,15,3000,io
GB,1000-9999,16,3000,io
ID,1000-9999,17,3000,io
SE,1000-9999,18,2000,io
CH,1000-9999,19,2000,io
KR,1000-9999,20,2000,io
ES,1000-9999,21,2000,io
TR,1000-9999,22,2000,io
KZ,1000-9999,23,2000,io
IT,100-999,24,1000,io
AE,100-999,25,1000,io
IL,100-999,26,1000,io
HK,100-999,27,1000,io
AR,100-999,28,1000,io
NG,100-999,29,1000,io
IE,100-999,30,1000,io
--,100-999,31,1000,io
UZ,100-999,32,1000,io
GE,100-999,33,1000,io
BY,100-999,34,1000,io
DK,100-999,35,1000,io
BH,100-999,36,1000,io
HU,100-999,37,1000,io
PK,100-999,38,1000,io
CN,100-999,39,1000,io
VN,100-999,40,1000,io
BE,100-999,41,1000,io
FI,100-999,42,1000,io
CZ,100-999,43,1000,io
NP,100-999,44,1000,io
MX,100-999,45,1000,io
TH,100-999,46,1000,io
BG,100-999,47,1000,io
PH,100-999,48,1000,io
SN,100-999,49,1000,io
HR,100-999,49,1000,io
NO,100-999,51,1000,io
MY,100-999,52,1000,io
PT,100-999,53,1000,io
RS,100-999,54,1000,io
GR,100-999,54,1000,io
LV,100-999,56,1000,io
NZ,100-999,57,1000,io
TW,100-999,58,1000,io
TJ,100-999,58,1000,io
AT,100-999,60,1000,io
SK,100-999,61,1000,io
GH,100-999,62,1000,io
ZA,100-999,62,1000,io
KH,100-999,64,1000,io
BD,100-999,65,1000,io
LT,100-999,66,1000,io
EE,100-999,67,1000,io
DZ,100-999,68,1000,io
US,100000-999999,1,126000,ia
CA,10000-99999,2,20000,ia
FR,10000-99999,3,14000,ia
DE,1000-9999,4,9000,ia
RU,1000-9999,5,8000,ia
NL,1000-9999,6,7000,ia
IN,1000-9999,7,6000,ia
SG,1000-9999,8,5000,ia
IT,1000-9999,9,5000,ia
CH,1000-9999,10,4000,ia
ES,1000-9999,11,4000,ia
PL,1000-9999,12,3000,ia
GB,1000-9999,13,3000,ia
SE,1000-9999,14,3000,ia
BR,1000-9999,15,3000,ia
UA,1000-9999,16,3000,ia
JP,1000-9999,17,3000,ia
MX,1000-9999,18,2000,ia
--,1000-9999,19,2000,ia
IR,1000-9999,20,2000,ia
AU,1000-9999,21,2000,ia
ID,1000-9999,22,2000,ia
HK,1000-9999,23,2000,ia
AR,1000-9999,24,2000,ia
KR,1000-9999,25,2000,ia
RO,100-999,26,1000,ia
CO,100-999,27,1000,ia
NG,100-999,28,1000,ia
IE,100-999,29,1000,ia
IL,100-999,30,1000,ia
AT,100-999,31,1000,ia
KZ,100-999,32,1000,ia
PE,100-999,33,1000,ia
AE,100-999,34,1000,ia
CZ,100-999,35,1000,ia
TR,100-999,36,1000,ia
CL,100-999,37,1000,ia
PH,100-999,38,1000,ia
VN,100-999,39,1000,ia
BH,100-999,40,1000,ia
UZ,100-999,41,1000,ia
PK,100-999,42,1000,ia
BE,100-999,43,1000,ia
HU,100-999,44,1000,ia
GE,100-999,45,1000,ia
FI,100-999,46,1000,ia
EC,100-999,47,1000,ia
NO,100-999,48,1000,ia
PT,100-999,49,1000,ia
DK,100-999,50,1000,ia
VE,100-999,51,1000,ia
TW,100-999,52,1000,ia
CN,100-999,53,1000,ia
BY,100-999,53,1000,ia
MY,100-999,55,1000,ia
NP,100-999,56,1000,ia
HR,100-999,57,1000,ia
GR,100-999,58,1000,ia
BG,100-999,59,1000,ia
KW,100-999,60,1000,ia
TH,100-999,61,1000,ia
RS,100-999,62,1000,ia
BO,100-999,62,1000,ia
LV,100-999,64,1000,ia
ZA,100-999,65,1000,ia
MA,100-999,65,1000,ia
SN,100-999,67,1000,ia
TJ,100-999,68,1000,ia
AM,100-999,69,1000,ia
BD,100-999,70,1000,ia
NZ,100-999,71,1000,ia
LT,100-999,72,1000,ia
DO,100-999,73,1000,ia
SK,100-999,74,1000,ia
CR,100-999,75,1000,ia
EE,100-999,76,1000,ia
US,10000-99999,1,66000,vo
CA,10000-99999,2,12000,vo
FR,1000-9999,3,9000,vo
NL,1000-9999,4,9000,vo
RU,1000-9999,5,7000,vo
PL,1000-9999,6,6000,vo
DE,1000-9999,7,5000,vo
IN,1000-9999,8,5000,vo
SG,1000-9999,9,3000,vo
UA,1000-9999,10,2000,vo
GB,1000-9999,11,2000,vo
IT,1000-9999,12,2000,vo
JP,1000-9999,13,2000,vo
AU,100-999,14,1000,vo
KR,100-999,15,1000,vo
ES,100-999,16,1000,vo
SE,100-999,17,1000,vo
ID,100-999,18,1000,vo
IL,100-999,19,1000,vo
BR,100-999,20,1000,vo
--,100-999,21,1000,vo
CH,100-999,22,1000,vo
RO,100-999,23,1000,vo
KZ,100-999,24,1000,vo
CZ,100-999,25,1000,vo
NG,100-999,26,1000,vo
HK,100-999,27,1000,vo
VN,100-999,28,1000,vo
IR,100-999,29,1000,vo
UZ,100-999,30,1000,vo
PK,100-999,31,1000,vo
FI,100-999,32,1000,vo
IE,100-999,33,1000,vo
DK,100-999,34,1000,vo
BY,100-999,34,1000,vo
AT,100-999,36,1000,vo
TR,100-999,37,1000,vo
GE,100-999,38,1000,vo
AR,100-999,39,1000,vo
BE,100-999,40,1000,vo
SN,100-999,41,1000,vo
CN,100-999,41,1000,vo
HU,100-999,43,1000,vo
AE,100-999,44,1000,vo
NP,100-999,45,1000,vo
TH,100-999,46,1000,vo
PT,100-999,47,1000,vo
BH,100-999,48,1000,vo
TJ,100-999,49,1000,vo
NO,100-999,50,1000,vo
KW,100-999,51,1000,vo
PH,100-999,52,1000,vo
LV,100-999,53,1000,vo
LT,100-999,54,1000,vo
EE,100-999,55,1000,vo
US,10000-99999,1,61000,ie
--,10000-99999,2,21000,ie
DE,10000-99999,3,16000,ie
NL,10000-99999,4,12000,ie
CA,1000-9999,5,9000,ie
RU,1000-9999,6,7000,ie
FR,1000-9999,7,7000,ie
NO,1000-9999,8,5000,ie
IN,1000-9999,9,4000,ie
AT,1000-9999,10,4000,ie
GB,1000-9999,11,3000,ie
SE,1000-9999,12,3000,ie
SG,1000-9999,13,2000,ie
ES,1000-9999,14,2000,ie
RO,1000-9999,15,2000,ie
CH,1000-9999,16,2000,ie
UA,1000-9999,17,2000,ie
PL,100-999,18,1000,ie
AU,100-999,19,1000,ie
JP,100-999,20,1000,ie
ID,100-999,21,1000,ie
IT,100-999,22,1000,ie
FI,100-999,23,1000,ie
BR,100-999,24,1000,ie
KZ,100-999,25,1000,ie
KR,100-999,26,1000,ie
HK,100-999,27,1000,ie
IR,100-999,28,1000,ie
SC,100-999,29,1000,ie
IL,100-999,30,1000,ie
NG,100-999,31,1000,ie
IE,100-999,32,1000,ie
PK,100-999,33,1000,ie
AE,100-999,34,1000,ie
DK,100-999,35,1000,ie
VN,100-999,36,1000,ie
BH,100-999,37,1000,ie
LU,100-999,37,1000,ie
CZ,100-999,39,1000,ie
MX,100-999,39,1000,ie
AR,100-999,41,1000,ie
UZ,100-999,42,1000,ie
GE,100-999,43,1000,ie
BE,100-999,44,1000,ie
HU,100-999,45,1000,ie
TR,100-999,46,1000,ie
NP,100-999,47,1000,ie
KW,100-999,48,1000,ie
BY,100-999,49,1000,ie
TJ,100-999,50,1000,ie
BA,100-999,51,1000,ie
GR,100-999,51,1000,ie
US,10000-99999,1,30000,nov
CA,1000-9999,2,6000,nov
IN,1000-9999,3,4000,nov
RU,1000-9999,4,4000,nov
FR,1000-9999,5,3000,nov
NL,1000-9999,6,2000,nov
DE,1000-9999,7,2000,nov
SG,1000-9999,8,2000,nov
UA,1000-9999,9,2000,nov
PL,100-999,10,1000,nov
GB,100-999,11,1000,nov
AU,100-999,12,1000,nov
NO,100-999,13,1000,nov
SE,100-999,14,1000,nov
--,100-999,15,1000,nov
KZ,100-999,16,1000,nov
BR,100-999,17,1000,nov
JP,100-999,18,1000,nov
ID,100-999,19,1000,nov
BH,100-999,20,1000,nov
HK,100-999,21,1000,nov
NG,100-999,22,1000,nov
PK,100-999,23,1000,nov
IL,100-999,24,1000,nov
CN,100-999,25,1000,nov
UZ,100-999,26,1000,nov
VN,100-999,27,1000,nov
KR,100-999,28,1000,nov
ES,100-999,29,1000,nov
IR,100-999,29,1000,nov
GE,100-999,31,1000,nov
KW,100-999,32,1000,nov
IE,100-999,33,1000,nov
IT,100-999,34,1000,nov
RO,100-999,35,1000,nov
CH,100-999,36,1000,nov
DK,100-999,37,1000,nov
NP,100-999,38,1000,nov
BY,100-999,39,1000,nov
TJ,100-999,40,1000,nov
